stop_id,stop_code,stop_name,stop_lat,stop_lon
W1L,,Cypel Czerniakowski,52.229937,21.043464
W1R,,Plaża Saska Kępa,52.228011,21.049265
W2R,,Plaża Poniatówka,52.236963,21.041113
W2L,,Most Poniatowskiego,52.235643,21.038298
W3L,,Podzamcze,52.254184,21.013858
W3R,,Plaża Zoo,52.253764,21.018868
DL,,Przystań Młociny,52.320318,20.927824
DR,,Przystań Nowodwory,52.330462,20.927108
GK,,Gruba Kaśka,52.221673,21.056408
KP-DS01,01,DS Riviera,52.2159872,21.0151522
KP-DS02,02,DS Riviera,52.2162352,21.0159652
KP-MW01,01,Metro Wilanowska,52.1815463,21.0219763
KP-MW02,02,Metro Wilanowska,52.1814082,21.0231822
KP-PK01,01,Piaseczno Kolejka Piaseczyńska,52.0692304,21.0250664
KP-PK03,03,Piaseczno Kolejka Piaseczyńska,52.0690998,21.0240546
KP-P,,Piaseczno Miasto Wąskotorowe,52.0701889,21.0239428
KP-R,,Runów,52.0192808,20.9345864
KP-T,,Tarczyn Wąskotorowy,51.9809715,20.8735748
Cementownia,,Cementownia,52.3112929,20.9960877
Serock,,Serock,52.5152125,21.0777280
